SAMPLE_ID,HAND1,HAND2,MEIS1,MEIS2,MEIS3,MIXL1,EOMES,GATA4,GATA5,OSR1,LMO2,GATA2,TAL1,WT1,MSLN,NF2,BAP1,TP53,BRCA1,YY1,TBP,OTX2,MITF,GAPDH,ATP5PB,GUSB
TCGA-UT-A88G,61.9771,266.415,677.874,2420.12,918.035,2.152,21.5198,621.062,1450.87,250.06,239.3,469.993,849.602,4830.34,12846.9,796.664,3502.13,1118.6,531.109,1203.39,250.491,2.5824,326.24,56813.2,2109.37,1690.17
TCGA-UT-A97Y,0.5594,19.5777,388.197,1490.7,869.808,0,12.8653,153.825,156.062,63.7673,770.242,326.108,308.768,585.093,5301.08,673.472,1329.6,2107.12,388.197,776.395,298.7,0,118.585,60264.6,1800.59,1322.89
TCGA-XT-AASU,0,65.0439,138.468,809.258,242.618,0,24.7406,254.19,903.432,49.8803,304.868,142.458,52.6736,94.573,569.433,217.877,638.069,2595.37,163.607,1543.5,241.82,0,148.444,88332.4,3049.08,1037.11
TCGA-YS-A95B,0,198.28,61.587,832.927,240.715,0.7511,2.2532,624.883,4.8819,30.7935,101.018,30.418,20.2787,2136.39,9363.48,788.615,2128.13,1542.31,561.794,943.709,323.707,0,224.567,88087.1,1726.32,1289.2
TCGA-YS-A95C,0,52.5431,80.0367,3060.33,51.3212,0.611,21.9948,161.906,1419.28,218.726,312.204,31.1593,32.3812,3037.73,85393.6,437.452,1950.21,2743.85,158.851,1347.18,275.546,0,100.809,48273.1,3600.35,1788.91
TCGA-YS-AA4M,0,5.6543,84.8142,747.173,260.905,2.0194,182.956,52.9079,15.3473,28.2714,831.179,199.112,54.1195,991.519,8523.42,1510.5,571.486,2584.81,709.612,1321.08,279.887,15.7512,181.341,69434.6,2556.95,1810.58
TCGA-ZN-A9VO,2.9256,64.3628,130.554,1514.35,17.9192,0,198.208,311.94,825.014,123.972,413.97,34.7413,11.7023,813.311,52448.7,172.244,273.176,1123.79,86.3046,1602.12,319.254,0,159.81,104670,2803.8,2654.23
TCGA-ZN-A9VP,0,658.766,598.837,1634.62,145.796,0,16.5474,44.7227,122.093,405.635,180.233,36.2254,25.0447,1877.91,28649.4,654.293,1503.58,1168.6,223.166,1597.94,220.036,0,118.962,41399.8,2008.05,3251.79
TCGA-ZN-A9VQ,0.8754,67.9895,155.821,2645.17,513.569,0.2918,5.836,350.161,223.811,79.3697,180.041,283.922,27.4292,992.705,7783.19,629.997,1345.2,3441.79,267.873,1176.54,142.982,0,58.3601,72303.5,2201.59,1005.25
TCGA-ZN-A9VS,0,25.4777,308.917,2433.58,40.0364,0.9099,41.8562,1906.28,1.8198,38.6715,499.545,142.857,16.8335,2850.77,73138.3,516.379,398.089,1940.86,199.272,1120.11,293.904,0,87.8071,66807.6,3956.32,1619.65
TCGA-ZN-A9VU,0,48.8736,303.551,3236.35,32.4551,0.7637,59.9465,27.8732,65.6739,134.402,253.532,45.4372,8.782,3413.13,34073.6,283.696,877.434,2310.81,242.077,1380.68,253.15,0,84.3834,36194.7,2332.19,1184.04
TCGA-ZN-A9VV,6.427,92.388,53.0227,1566.58,110.866,0,0.8034,4000,93.1914,703.756,1256.48,33.7417,16.8709,2316.93,3623.22,179.956,344.647,2422.17,88.3712,888.532,395.26,0,33.7417,71037.6,3132.36,1904
TCGA-ZN-A9VW,0,39.916,100.49,828.081,931.723,0,82.2829,129.902,317.227,32.563,315.476,302.871,16.1064,295.868,2482.49,217.087,219.538,3022.06,515.056,1398.11,369.748,0,107.493,74628.2,2461.13,2114.5
